"","subject","modality","accuracy","mean(confidence, na.rm = T)"
"401",51,"Calories",0,5.73913043478261
"402",51,"Calories",1,5.7910447761194
"403",51,"GDP",0,4.93333333333333
"404",51,"GDP",1,6.25
"405",51,"memory",0,4.35714285714286
"406",51,"memory",1,5.22929936305732
"407",51,"vision",0,3.76470588235294
"408",51,"vision",1,4.34013605442177
"409",52,"Calories",0,5.17241379310345
"410",52,"Calories",1,5.52702702702703
"411",52,"GDP",0,3.2
"412",52,"GDP",1,4.70149253731343
"413",52,"memory",0,2.42857142857143
"414",52,"memory",1,4.54861111111111
"415",52,"vision",0,2.98245614035088
"416",52,"vision",1,4.23076923076923
"417",54,"Calories",0,4.07142857142857
"418",54,"Calories",1,4.29577464788732
"419",54,"GDP",0,1.53125
"420",54,"GDP",1,3.17391304347826
"421",54,"memory",0,2.96551724137931
"422",54,"memory",1,5.76023391812866
"423",54,"vision",0,3.96428571428571
"424",54,"vision",1,4.73611111111111
"425",55,"Calories",0,4.62962962962963
"426",55,"Calories",1,6.28125
"427",55,"GDP",0,3
"428",55,"GDP",1,5.33333333333333
"429",55,"memory",0,1.76666666666667
"430",55,"memory",1,6.29411764705882
"431",55,"vision",0,3.32692307692308
"432",55,"vision",1,5.12837837837838
"433",56,"Calories",0,4.07692307692308
"434",56,"Calories",1,5.31168831168831
"435",56,"GDP",0,2.78260869565217
"436",56,"GDP",1,4.05405405405405
"437",56,"memory",0,3.02941176470588
"438",56,"memory",1,5.3855421686747
"439",56,"vision",0,4.68421052631579
"440",56,"vision",1,5.46853146853147
"441",57,"Calories",0,5.17241379310345
"442",57,"Calories",1,5.31666666666667
"443",57,"GDP",0,3.6
"444",57,"GDP",1,4.78481012658228
"445",57,"memory",0,2.21276595744681
"446",57,"memory",1,4.87581699346405
"447",57,"vision",0,1.90384615384615
"448",57,"vision",1,2.21768707482993
"449",58,"Calories",0,5.36666666666667
"450",58,"Calories",1,5.90909090909091
"451",58,"GDP",0,3.08333333333333
"452",58,"GDP",1,4.58208955223881
"453",58,"memory",0,2.21428571428571
"454",58,"memory",1,5.90860215053763
"455",58,"vision",0,3.81666666666667
"456",58,"vision",1,4.88571428571429
"457",60,"Calories",0,3.86363636363636
"458",60,"Calories",1,4.71428571428571
"459",60,"GDP",0,2.05263157894737
"460",60,"GDP",1,3.61038961038961
"461",60,"memory",0,2.88888888888889
"462",60,"memory",1,5.43023255813953
"463",60,"vision",0,2.85714285714286
"464",60,"vision",1,3.83216783216783
"465",61,"Calories",0,5.92307692307692
"466",61,"Calories",1,6.5
"467",61,"GDP",0,6
"468",61,"GDP",1,6.15942028985507
"469",61,"memory",0,3.37878787878788
"470",61,"memory",1,5.61654135338346
"471",61,"vision",0,4.53448275862069
"472",61,"vision",1,5.70212765957447
"473",62,"Calories",0,5.22222222222222
"474",62,"Calories",1,6.22222222222222
"475",62,"GDP",0,3.875
"476",62,"GDP",1,4.06578947368421
"477",62,"memory",0,2.72307692307692
"478",62,"memory",1,4.95555555555556
"479",62,"vision",0,3.69642857142857
"480",62,"vision",1,4.55244755244755
"481",63,"Calories",0,3.88888888888889
"482",63,"Calories",1,4.375
"483",63,"GDP",0,2.80645161290323
"484",63,"GDP",1,4.33870967741935
"485",63,"memory",0,2.88888888888889
"486",63,"memory",1,4.84415584415584
"487",63,"vision",0,2.94642857142857
"488",63,"vision",1,3.6830985915493
"489",64,"Calories",0,4.16
"490",64,"Calories",1,4.77966101694915
"491",64,"GDP",0,2.65384615384615
"492",64,"GDP",1,3.77464788732394
"493",64,"memory",0,2.66101694915254
"494",64,"memory",1,4.09219858156028
"495",64,"vision",0,2.75925925925926
"496",64,"vision",1,3.26356589147287
"497",65,"Calories",0,3.7741935483871
"498",65,"Calories",1,4.57142857142857
"499",65,"GDP",0,1.7
"500",65,"GDP",1,2.16949152542373
"501",65,"memory",0,2.67647058823529
"502",65,"memory",1,4.60240963855422
"503",65,"vision",0,1.76785714285714
"504",65,"vision",1,2.11111111111111
"505",66,"Calories",0,4.86206896551724
"506",66,"Calories",1,5.34246575342466
"507",66,"GDP",0,4.65625
"508",66,"GDP",1,5.33846153846154
"509",66,"memory",0,2.93333333333333
"510",66,"memory",1,4.96470588235294
"511",66,"vision",0,3.59649122807018
"512",66,"vision",1,4.88732394366197
"513",67,"Calories",0,4.93333333333333
"514",67,"Calories",1,5.5
"515",67,"GDP",0,3.61290322580645
"516",67,"GDP",1,4.31884057971014
"517",67,"memory",0,4.3030303030303
"518",67,"memory",1,5.18181818181818
"519",67,"vision",0,4.38461538461539
"520",67,"vision",1,5.70945945945946
"521",68,"Calories",0,2.62068965517241
"522",68,"Calories",1,3.21333333333333
"523",68,"GDP",0,1.75
"524",68,"GDP",1,2.421875
"525",68,"memory",0,1.16129032258065
"526",68,"memory",1,3.10059171597633
"527",68,"vision",0,1.41071428571429
"528",68,"vision",1,2.09027777777778
"529",69,"Calories",0,6
"530",69,"Calories",1,5.94594594594595
"531",69,"GDP",0,4.92857142857143
"532",69,"GDP",1,5.26086956521739
"533",69,"memory",0,4.54761904761905
"534",69,"memory",1,6.0828025477707
"535",69,"vision",0,4.97872340425532
"536",69,"vision",1,6.22222222222222
"537",70,"Calories",0,3.47058823529412
"538",70,"Calories",1,4.31944444444444
"539",70,"GDP",0,2.96428571428571
"540",70,"GDP",1,4.62121212121212
"541",70,"memory",0,3
"542",70,"memory",1,4.96385542168675
"543",70,"vision",0,3.47457627118644
"544",70,"vision",1,4.27659574468085
"545",71,"Calories",0,4.03030303030303
"546",71,"Calories",1,4.84722222222222
"547",71,"GDP",0,1.93333333333333
"548",71,"GDP",1,2.47619047619048
"549",71,"memory",0,2.76190476190476
"550",71,"memory",1,4.4873417721519
"551",71,"vision",0,3.08928571428571
"552",71,"vision",1,4.18055555555556
"553",72,"Calories",0,4.2
"554",72,"Calories",1,4
"555",72,"GDP",0,3.56666666666667
"556",72,"GDP",1,3.92
"557",72,"memory",0,1.91304347826087
"558",72,"memory",1,4.4180790960452
"559",72,"vision",0,2.94827586206897
"560",72,"vision",1,3.41843971631206
"561",73,"Calories",0,4.45161290322581
"562",73,"Calories",1,5.17741935483871
"563",73,"GDP",0,3
"564",73,"GDP",1,3.73239436619718
"565",73,"memory",0,3.51020408163265
"566",73,"memory",1,4.58108108108108
"567",73,"vision",0,3.21428571428571
"568",73,"vision",1,4.27972027972028
"569",74,"Calories",0,3.82142857142857
"570",74,"Calories",1,4.60493827160494
"571",74,"GDP",0,1.96296296296296
"572",74,"GDP",1,3.38095238095238
"573",74,"memory",0,1.74509803921569
"574",74,"memory",1,3.77852348993289
"575",74,"vision",0,2.03125
"576",74,"vision",1,2.88148148148148
"577",75,"Calories",0,5.53333333333333
"578",75,"Calories",1,5.39393939393939
"579",75,"GDP",0,3.15151515151515
"580",75,"GDP",1,4.8169014084507
"581",75,"memory",0,1.92857142857143
"582",75,"memory",1,4.01273885350319
"583",75,"vision",0,2
"584",75,"vision",1,3.34931506849315
"585",76,"Calories",0,4.44827586206897
"586",76,"Calories",1,5.39189189189189
"587",76,"GDP",0,2.43333333333333
"588",76,"GDP",1,3.95522388059702
"589",76,"memory",0,2.36111111111111
"590",76,"memory",1,4.02453987730061
"591",76,"vision",0,2.96610169491525
"592",76,"vision",1,3.82269503546099
"593",77,"Calories",0,5.44
"594",77,"Calories",1,5.68181818181818
"595",77,"GDP",0,4.45238095238095
"596",77,"GDP",1,4.95522388059702
"597",77,"memory",0,4.13846153846154
"598",77,"memory",1,5.41791044776119
"599",77,"vision",0,4.1551724137931
"600",77,"vision",1,4.74647887323944
"601",78,"Calories",0,5.5
"602",78,"Calories",1,6.33783783783784
"603",78,"GDP",0,4.53571428571429
"604",78,"GDP",1,5.6969696969697
"605",78,"memory",0,4.03703703703704
"606",78,"memory",1,5.98265895953757
"607",78,"vision",0,5.28846153846154
"608",78,"vision",1,5.74149659863946
"609",79,"Calories",0,4.87096774193548
"610",79,"Calories",1,5.36111111111111
"611",79,"GDP",0,3.89189189189189
"612",79,"GDP",1,4.64406779661017
"613",79,"memory",0,4.20779220779221
"614",79,"memory",1,4.89256198347107
"615",79,"vision",0,4.16666666666667
"616",79,"vision",1,4.82781456953642
"617",80,"Calories",0,4.40740740740741
"618",80,"Calories",1,5.65432098765432
"619",80,"GDP",0,2.93548387096774
"620",80,"GDP",1,5.06896551724138
"621",80,"memory",0,1.92307692307692
"622",80,"memory",1,5.08695652173913
"623",80,"vision",0,3.18965517241379
"624",80,"vision",1,4.48936170212766
"625",81,"Calories",0,4.19230769230769
"626",81,"Calories",1,5.68333333333333
"627",81,"GDP",0,5
"628",81,"GDP",1,5.55696202531646
"629",81,"memory",0,2.93617021276596
"630",81,"memory",1,4.46979865771812
"631",81,"vision",0,4.88461538461539
"632",81,"vision",1,5.3972602739726
"633",82,"Calories",0,5.38461538461539
"634",82,"Calories",1,6.07692307692308
"635",82,"GDP",0,3.64705882352941
"636",82,"GDP",1,5.71621621621622
"637",82,"memory",0,3.41025641025641
"638",82,"memory",1,5.77639751552795
"639",82,"vision",0,4
"640",82,"vision",1,5.34507042253521
"641",83,"Calories",0,4.6
"642",83,"Calories",1,5.54545454545455
"643",83,"GDP",0,3.76666666666667
"644",83,"GDP",1,5.66666666666667
"645",83,"memory",0,3.89655172413793
"646",83,"memory",1,5.90532544378698
