"","subj","gender","mem_pre","vis_pre","gdp_pre","cal_pre","mem_post","vis_post","gdp_post","cal_post","avg_pre","avg_post","mem_acc","mem_conf","mem_rt","vis_acc","vis_conf","vis_rt","gdp_acc","gdp_conf","gdp_rt","cal_acc","cal_conf","cal_rt","avg_acc","avg_conf","avg_rt"
"143",146,"Feminin",30,60,50,40,60,50,30,40,45,45,0.71,5.17587939698493,1.96130003463765,0.715,5.085,0.846299706499981,0.698924731182796,5.06521739130435,1.75245886774192,0.728971962616822,5.73333333333333,2.02701199719627,0.713224173449905,5.26485753040565,1.64676765151896
"144",147,"Feminin",70,50,30,60,65,65,50,70,52.5,62.5,0.725,4.355,2.24106107500003,0.715,4.77386934673367,1.58987314299999,0.695238095238095,3.94174757281553,3.26591036000004,0.684210526315789,5.53763440860215,4.86461543368418,0.704862155388471,4.65206283203784,2.99036500292106
"145",148,"Feminin",70,80,75,95,35,37,43,55,80,42.5,0.8,3.855,3.26839077340677,0.7,2.62,0.895645436499976,0.678260869565217,4.85964912280702,2.49081327962022,0.729411764705882,5.18823529411765,3.85447875091654,0.726918158567775,4.13072110423117,2.62733206011088
"146",149,"Feminin",70,60,50,80,65,60,50,70,65,61.25,0.86,4.99,1.59876531499996,0.685,4.5,0.960991908000042,0.7,3.97272727272727,2.41254055985352,0.7,5.64772727272727,3.85979108829675,0.73625,4.77761363636364,2.20802221778757
"147",150,"Feminin",70,50,50,90,23,30,50,65,65,42,0.775,4.16243654822335,3.41208281699999,0.735,2.0251256281407,1.27512277900003,0.663551401869159,4.75700934579439,2.60136317806426,0.67741935483871,5.44565217391304,2.49776155969823,0.712742689176967,4.09755592401787,2.44658258344063
"148",151,"Masculin",80,60,60,60,70,50,70,70,65,65,0.8,4.965,1.31258902799998,0.7,4.005,1.0699989275,0.682692307692308,5.47115384615385,1.50230311538466,0.71875,6.07291666666667,1.70186119375003,0.725360576923077,5.12851762820513,1.39668806615867
"149",152,"Masculin",80,70,70,70,70,65,75,75,72.5,71.25,0.76,5.16666666666667,2.16044352979465,0.725,3.71356783919598,0.825599184500006,0.684210526315789,4.33684210526316,2.07430933157895,0.714285714285714,5.15238095238095,1.83180301047617,0.720874060150376,4.59236439087669,1.72303876408744
"150",153,"Feminin",76,80,70,65,64,53,40,40,72.75,49.25,0.875,5.97,1.832670344,0.71,4.75,0.875897764500014,0.71,4.52,2.06119814000003,0.71,5.93,1.64731048600001,0.75125,5.2925,1.60426918362501
"151",154,"Feminin",75,60,40,60,60,45,65,60,58.75,57.5,0.825,4.81,2.06960652241279,0.705,4.255,0.930739316000017,0.727272727272727,4.61467889908257,2.32880554273355,0.633333333333333,5.12359550561798,2.35013679661286,0.722651515151515,4.70081860117514,1.9198220444398
"152",155,"Feminin",70,80,50,60,87,65,65,82,65,74.75,0.885,5.83,1.23976022150001,0.705,4.83,0.696436493000003,0.731481481481482,4.58333333333333,3.0118630081178,0.652173913043478,5.19565217391304,1.87543314621685,0.74341384863124,5.10974637681159,1.70587321720867
